team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
EDM,2021,EDM,EDM,Team Level,other,82,0.64,0.49,0.5,9891.0,149.18,40.17,10.57,21.81,4.32,68.98,48.14,38.86,40.17,38.86,145.0,49.0,44.0,238.0,37.0,9.0,2.0,18.0,1.0,69.0,60.0,108.0,157.0,4.0,8.0,121.0,34.0,26.0,30.0,68.0,75.0,51.0,3.02,9.18,27.97,1.0,9.0,27.0,238.0,194.0,194.0,13.0,3.01,3.28,3.28,39.91,39.91,38.82,140.25,22.35,10.11,26.84,4.98,79.82,49.9,21.58,22.35,21.58,151.0,43.0,54.0,248.0,21.0,10.0,0.0,24.0,8.0,60.0,71.0,130.0,173.0,8.0,18.0,121.0,37.0,25.0,26.0,107.0,65.0,22.0,4.29,8.01,10.06,7.0,5.0,9.0,248.0,194.0,194.0,6.0,2.9,2.38,2.38,22.87,22.87,22.35
EDM,2021,EDM,EDM,Team Level,all,82,0.54,0.52,0.51,298753.0,2743.39,286.87,193.89,596.62,86.81,1491.09,1108.72,276.15,288.38,277.62,2791.0,973.0,1197.0,4961.0,285.0,198.0,41.0,583.0,98.0,1226.0,1374.0,2506.0,3479.0,275.0,586.0,2414.0,1853.0,633.0,885.0,2617.0,858.0,289.0,78.14,104.64,104.09,70.0,108.0,107.0,5003.54,3764.0,3790.82,533.0,42.8,45.05,45.33,284.34,285.54,278.43,2571.03,249.37,180.13,580.31,84.23,1436.95,1022.02,240.1,250.78,241.45,2647.0,906.0,1018.0,4571.0,251.0,191.0,35.0,571.0,99.0,1109.0,1332.0,2396.0,3302.0,257.0,543.0,2294.0,1935.0,654.0,926.0,2553.0,776.0,224.0,80.61,92.54,76.22,84.0,91.0,76.0,4567.28,3553.0,3559.95,553.0,39.81,40.62,40.62,248.55,249.82,244.35
EDM,2021,EDM,EDM,Team Level,5on5,82,0.51,0.52,0.52,243509.0,2127.06,184.39,142.78,490.34,67.61,1169.84,879.05,178.83,185.91,180.29,2161.0,773.0,1014.0,3948.0,181.0,154.0,32.0,492.0,80.0,937.0,1090.0,1980.0,2753.0,245.0,518.0,1889.0,1716.0,530.0,754.0,2161.0,602.0,171.0,64.48,73.48,46.44,55.0,79.0,47.0,3990.54,2934.0,2960.81,467.0,29.56,32.43,32.67,181.29,182.49,179.59,1994.18,173.78,132.86,467.27,64.73,1100.8,814.55,168.33,175.2,169.68,2050.0,704.0,823.0,3577.0,173.0,143.0,25.0,459.0,73.0,831.0,1075.0,1877.0,2581.0,225.0,477.0,1736.0,1806.0,538.0,771.0,2049.0,562.0,143.0,66.17,67.41,40.21,69.0,70.0,34.0,3573.28,2754.0,2760.95,496.0,27.47,28.08,28.08,173.17,174.44,171.48
EDM,2021,EDM,EDM,Team Level,4on5,82,0.14,0.16,0.18,23879.0,87.17,7.92,4.29,11.54,2.67,27.34,62.25,7.87,7.92,7.87,100.0,16.0,11.0,127.0,11.0,1.0,2.0,14.0,1.0,20.0,69.0,89.0,105.0,12.0,32.0,188.0,74.0,56.0,51.0,79.0,32.0,5.0,2.28,4.24,1.4,5.0,5.0,1.0,127.0,116.0,116.0,51.0,0.99,0.33,0.37,8.54,8.54,8.5,384.89,47.09,34.2,79.54,12.88,239.58,122.7,44.13,47.09,44.13,391.0,145.0,133.0,669.0,51.0,35.0,10.0,86.0,18.0,201.0,145.0,340.0,485.0,17.0,34.0,261.0,21.0,32.0,88.0,361.0,124.0,51.0,9.11,14.15,23.83,8.0,12.0,31.0,669.0,536.0,536.0,11.0,8.76,9.76,9.76,46.09,46.09,44.15
EDM,2021,EDM,EDM,Team Level,5on4,82,0.9,0.89,0.88,21474.0,379.97,54.38,36.25,72.93,12.21,224.94,119.28,50.59,54.38,50.59,385.0,135.0,128.0,648.0,56.0,34.0,5.0,59.0,16.0,200.0,155.0,329.0,464.0,14.0,28.0,216.0,29.0,21.0,50.0,309.0,149.0,62.0,8.37,17.75,28.27,9.0,15.0,32.0,648.0,520.0,520.0,2.0,9.23,9.01,9.01,54.59,54.59,51.51,51.7,6.14,2.95,6.65,1.63,16.75,34.88,6.06,6.14,6.06,55.0,14.0,8.0,77.0,6.0,3.0,0.0,2.0,0.0,17.0,41.0,49.0,63.0,7.0,14.0,176.0,71.0,59.0,41.0,36.0,25.0,8.0,1.05,2.97,2.13,0.0,4.0,2.0,77.0,69.0,69.0,40.0,0.68,0.41,0.41,6.42,6.42,6.37
FLA,2021,FLA,FLA,Team Level,other,82,0.58,0.6,0.6,11195.0,180.22,43.91,12.93,32.01,6.3,91.99,59.86,40.29,43.91,40.29,178.0,69.0,76.0,323.0,45.0,15.0,3.0,24.0,4.0,91.0,68.0,133.0,202.0,10.0,23.0,150.0,42.0,36.0,42.0,117.0,67.0,63.0,4.82,8.21,30.89,8.0,9.0,28.0,323.0,247.0,247.0,21.0,3.81,4.75,4.75,42.97,42.97,40.49,127.24,32.43,8.93,21.35,4.09,58.91,41.28,27.06,32.43,27.06,132.0,35.0,52.0,219.0,24.0,14.0,3.0,17.0,4.0,44.0,64.0,108.0,143.0,8.0,21.0,122.0,50.0,43.0,39.0,74.0,40.0,53.0,3.1,5.31,24.02,5.0,4.0,15.0,219.0,167.0,167.0,13.0,2.63,4.65,4.65,30.41,30.41,26.19
FLA,2021,FLA,FLA,Team Level,all,82,0.55,0.56,0.55,299053.0,2955.67,319.35,211.51,657.81,96.77,1602.65,1162.91,302.83,321.53,305.0,3062.0,989.0,1323.0,5374.0,337.0,268.0,57.0,651.0,113.0,1291.0,1391.0,2725.0,3714.0,320.0,712.0,2364.0,2051.0,801.0,969.0,2752.0,979.0,320.0,86.07,120.44,112.83,100.0,123.0,114.0,5459.19,4051.0,4093.45,447.0,46.68,62.61,62.61,303.4,305.69,296.92,2407.21,260.84,171.92,540.29,82.13,1299.1,950.73,244.85,260.88,244.84,2515.0,790.0,995.0,4300.0,242.0,242.0,33.0,531.0,81.0,980.0,1229.0,2273.0,3063.0,316.0,701.0,2537.0,2180.0,682.0,872.0,2284.0,733.0,288.0,69.38,91.29,100.18,72.0,94.0,76.0,4261.55,3305.0,3290.88,424.0,38.3,52.54,52.54,246.61,246.43,237.56
FLA,2021,FLA,FLA,Team Level,5on5,82,0.56,0.56,0.56,239957.0,2354.85,220.25,162.03,546.28,76.7,1277.95,942.77,210.61,222.44,212.79,2438.0,788.0,1076.0,4302.0,218.0,211.0,37.0,569.0,98.0,1010.0,1120.0,2220.0,3008.0,286.0,641.0,1803.0,1890.0,645.0,801.0,2268.0,771.0,187.0,71.59,94.69,53.97,81.0,91.0,46.0,4387.19,3226.0,3268.45,378.0,33.66,47.28,47.28,206.63,208.91,204.85,1835.14,173.3,126.37,431.48,62.56,991.0,742.28,166.63,173.35,166.61,1912.0,615.0,803.0,3330.0,161.0,184.0,20.0,439.0,67.0,724.0,952.0,1751.0,2366.0,289.0,639.0,2009.0,2013.0,565.0,731.0,1795.0,557.0,175.0,55.9,68.89,48.51,60.0,71.0,30.0,3291.55,2527.0,2512.88,380.0,26.33,37.48,37.48,162.16,161.98,159.66
FLA,2021,FLA,FLA,Team Level,4on5,82,0.19,0.16,0.17,23988.0,78.92,10.92,4.62,10.78,2.5,25.25,51.92,10.87,10.92,10.87,91.0,15.0,18.0,124.0,12.0,3.0,1.0,7.0,4.0,16.0,64.0,79.0,94.0,5.0,10.0,173.0,92.0,101.0,47.0,57.0,30.0,19.0,1.62,3.85,5.45,2.0,6.0,4.0,124.0,106.0,106.0,40.0,1.06,0.03,0.03,11.95,11.95,11.88,380.4,48.0,33.31,79.56,13.55,228.94,120.64,44.09,48.0,44.09,400.0,124.0,128.0,652.0,49.0,42.0,10.0,70.0,10.0,198.0,155.0,351.0,475.0,12.0,27.0,243.0,38.0,17.0,69.0,360.0,111.0,53.0,8.66,13.78,25.56,6.0,15.0,28.0,652.0,524.0,524.0,6.0,8.58,9.89,9.89,46.68,46.68,44.38
FLA,2021,FLA,FLA,Team Level,5on4,82,0.86,0.86,0.84,23913.0,341.68,44.26,31.93,68.74,11.26,207.46,108.36,41.06,44.26,41.06,355.0,117.0,153.0,625.0,62.0,39.0,16.0,51.0,7.0,174.0,139.0,293.0,410.0,19.0,38.0,238.0,27.0,19.0,79.0,310.0,111.0,51.0,8.05,13.69,22.52,9.0,17.0,36.0,625.0,472.0,472.0,8.0,8.15,10.55,10.55,41.85,41.85,39.71,64.43,7.11,3.3,7.9,1.91,20.23,46.54,7.06,7.11,7.06,71.0,16.0,12.0,99.0,8.0,2.0,0.0,5.0,0.0,14.0,58.0,63.0,79.0,7.0,14.0,163.0,79.0,57.0,33.0,55.0,25.0,7.0,1.71,3.31,2.09,1.0,4.0,3.0,99.0,87.0,87.0,25.0,0.76,0.52,0.52,7.36,7.36,7.33
OTT,2021,OTT,OTT,Team Level,other,82,0.45,0.47,0.45,10921.0,132.02,28.52,9.76,22.74,4.31,67.96,43.72,27.13,28.52,27.13,131.0,46.0,60.0,237.0,26.0,9.0,1.0,21.0,6.0,62.0,53.0,105.0,151.0,6.0,14.0,118.0,38.0,21.0,31.0,82.0,55.0,40.0,2.88,7.32,18.32,5.0,4.0,17.0,237.0,177.0,177.0,14.0,2.79,2.43,2.8,28.5,28.5,27.24,157.64,34.52,11.66,27.71,5.19,82.65,53.28,33.23,34.52,33.23,144.0,71.0,56.0,271.0,37.0,15.0,1.0,20.0,11.0,63.0,69.0,107.0,178.0,14.0,28.0,130.0,39.0,21.0,29.0,103.0,68.0,44.0,4.42,8.12,21.97,6.0,13.0,18.0,271.0,215.0,215.0,13.0,3.33,3.51,3.81,34.04,34.04,32.98
OTT,2021,OTT,OTT,Team Level,all,82,0.48,0.48,0.48,298022.0,2479.31,249.73,177.21,550.74,80.42,1366.06,986.85,240.3,250.35,240.92,2465.0,946.0,1087.0,4498.0,224.0,190.0,26.0,548.0,86.0,1107.0,1256.0,2241.0,3187.0,313.0,728.0,2216.0,2417.0,544.0,809.0,2392.0,764.0,255.0,70.87,93.72,85.14,61.0,86.0,77.0,4500.97,3411.0,3413.75,493.0,39.06,38.37,38.79,250.0,250.3,244.62,2697.37,270.68,194.17,594.2,86.25,1500.13,1076.59,260.9,272.49,262.64,2740.0,982.0,1198.0,4920.0,264.0,214.0,40.0,606.0,92.0,1225.0,1321.0,2476.0,3458.0,307.0,715.0,2408.0,2042.0,524.0,789.0,2608.0,856.0,258.0,79.08,102.68,88.91,68.0,111.0,85.0,4949.29,3722.0,3745.22,466.0,43.01,45.59,45.89,267.79,269.44,262.96
OTT,2021,OTT,OTT,Team Level,5on5,82,0.47,0.48,0.48,241227.0,1929.45,165.09,130.19,451.97,63.07,1074.53,788.16,160.68,165.7,161.31,1919.0,754.0,882.0,3555.0,147.0,143.0,18.0,454.0,68.0,839.0,1022.0,1772.0,2526.0,276.0,643.0,1720.0,2291.0,435.0,646.0,1979.0,543.0,151.0,59.36,66.06,39.67,50.0,65.0,32.0,3557.97,2673.0,2675.75,431.0,26.9,26.37,26.64,165.34,165.64,163.5,2085.27,185.4,142.98,475.85,66.24,1159.66,857.87,179.77,187.21,181.53,2114.0,774.0,978.0,3866.0,175.0,151.0,31.0,485.0,67.0,960.0,1050.0,1939.0,2713.0,262.0,623.0,1813.0,1883.0,413.0,660.0,2075.0,661.0,152.0,63.36,79.63,42.41,56.0,79.0,40.0,3895.29,2888.0,2911.22,419.0,29.65,32.69,32.94,182.11,183.75,180.42
OTT,2021,OTT,OTT,Team Level,4on5,82,0.17,0.14,0.15,23500.0,74.1,9.07,4.12,9.15,2.08,22.53,50.06,8.81,9.07,8.81,76.0,21.0,17.0,114.0,8.0,4.0,0.0,4.0,2.0,16.0,63.0,68.0,89.0,15.0,30.0,174.0,57.0,67.0,45.0,55.0,30.0,12.0,1.69,3.67,3.71,2.0,3.0,3.0,114.0,97.0,97.0,41.0,0.94,1.16,1.16,8.86,8.86,8.8,398.01,45.05,36.61,83.04,13.14,240.34,125.84,42.26,45.05,42.26,419.0,125.0,145.0,689.0,48.0,46.0,8.0,92.0,12.0,183.0,163.0,371.0,496.0,18.0,32.0,271.0,36.0,25.0,71.0,378.0,111.0,55.0,9.6,12.79,22.66,4.0,17.0,27.0,689.0,544.0,544.0,6.0,9.37,8.97,8.73,45.68,45.68,43.64
OTT,2021,OTT,OTT,Team Level,5on4,82,0.89,0.86,0.86,22374.0,343.75,47.06,33.15,66.88,10.98,201.03,104.91,43.67,47.06,43.67,339.0,125.0,128.0,592.0,43.0,34.0,7.0,69.0,10.0,190.0,118.0,296.0,421.0,16.0,41.0,204.0,31.0,21.0,87.0,276.0,136.0,52.0,6.95,16.67,23.44,4.0,14.0,25.0,592.0,464.0,464.0,7.0,8.43,8.42,8.19,47.3,47.3,45.07,56.45,5.71,2.93,7.62,1.68,17.48,39.59,5.63,5.71,5.63,63.0,12.0,19.0,94.0,4.0,2.0,0.0,9.0,2.0,19.0,39.0,59.0,71.0,13.0,32.0,194.0,84.0,65.0,29.0,52.0,16.0,7.0,1.7,2.13,1.87,2.0,2.0,0.0,94.0,75.0,75.0,28.0,0.67,0.42,0.42,5.96,5.96,5.91
VAN,2021,VAN,VAN,Team Level,other,82,0.54,0.53,0.52,9925.0,160.03,37.76,10.95,27.85,5.39,82.53,54.5,33.92,37.76,33.92,169.0,50.0,64.0,283.0,30.0,17.0,6.0,31.0,7.0,71.0,63.0,139.0,189.0,8.0,19.0,121.0,23.0,28.0,18.0,102.0,67.0,50.0,4.36,8.53,24.88,6.0,3.0,21.0,283.0,219.0,219.0,6.0,3.13,6.05,6.05,34.84,34.84,32.23,145.68,31.99,10.2,24.55,4.76,77.62,50.87,29.16,31.99,29.16,150.0,50.0,49.0,249.0,31.0,8.0,2.0,21.0,6.0,72.0,62.0,119.0,169.0,7.0,17.0,119.0,29.0,15.0,13.0,104.0,58.0,38.0,4.15,7.26,20.58,5.0,9.0,17.0,249.0,200.0,200.0,5.0,3.02,2.33,2.33,32.68,32.68,29.87
VAN,2021,VAN,VAN,Team Level,all,82,0.5,0.5,0.5,299031.0,2540.92,249.26,174.87,579.49,85.07,1447.01,1041.3,238.15,249.75,238.62,2623.0,954.0,1205.0,4782.0,246.0,198.0,39.0,600.0,91.0,1095.0,1347.0,2377.0,3331.0,273.0,619.0,2403.0,1901.0,558.0,606.0,2660.0,684.0,233.0,79.77,81.95,87.55,96.0,70.0,80.0,4777.31,3577.0,3579.56,377.0,38.52,47.07,47.29,240.5,240.7,234.09,2532.2,251.24,176.89,574.15,83.91,1428.92,1035.89,241.42,252.47,242.62,2612.0,939.0,1176.0,4727.0,231.0,196.0,34.0,624.0,94.0,1125.0,1281.0,2381.0,3320.0,293.0,635.0,2222.0,1869.0,513.0,624.0,2573.0,744.0,234.0,76.51,89.48,85.26,74.0,84.0,73.0,4751.14,3551.0,3565.81,369.0,39.05,43.17,43.29,247.0,247.97,240.98
VAN,2021,VAN,VAN,Team Level,5on5,82,0.49,0.5,0.5,244761.0,1982.38,160.59,130.19,471.88,66.06,1130.47,833.82,155.72,161.07,156.19,2036.0,757.0,956.0,3749.0,157.0,148.0,24.0,500.0,64.0,841.0,1083.0,1879.0,2636.0,245.0,560.0,1856.0,1788.0,452.0,512.0,2165.0,501.0,127.0,64.93,59.71,35.95,74.0,54.0,29.0,3744.31,2793.0,2795.56,339.0,26.74,30.93,31.15,156.18,156.38,154.03,1985.31,166.18,133.47,471.48,66.1,1123.34,835.43,161.51,167.41,162.72,2052.0,744.0,976.0,3772.0,143.0,142.0,20.0,519.0,67.0,876.0,1049.0,1909.0,2653.0,266.0,578.0,1710.0,1755.0,435.0,545.0,2100.0,567.0,129.0,62.68,68.13,35.38,61.0,61.0,21.0,3796.14,2796.0,2810.81,339.0,27.55,28.77,28.89,164.86,165.82,163.27
VAN,2021,VAN,VAN,Team Level,4on5,82,0.1,0.12,0.13,21525.0,53.41,5.28,2.8,7.2,1.63,17.47,38.6,5.14,5.28,5.14,58.0,15.0,11.0,84.0,3.0,2.0,0.0,4.0,0.0,13.0,51.0,55.0,70.0,13.0,26.0,182.0,72.0,58.0,29.0,53.0,14.0,6.0,1.45,2.06,1.77,1.0,1.0,1.0,84.0,73.0,73.0,27.0,0.64,0.68,0.68,5.24,5.24,5.2,343.16,47.25,30.27,70.27,11.31,208.97,108.93,44.97,47.25,44.97,340.0,137.0,144.0,621.0,51.0,45.0,12.0,77.0,20.0,162.0,122.0,289.0,426.0,15.0,30.0,218.0,22.0,21.0,44.0,315.0,105.0,57.0,8.2,12.38,26.67,7.0,12.0,32.0,621.0,477.0,477.0,7.0,7.8,11.91,11.91,43.14,43.14,41.53
VAN,2021,VAN,VAN,Team Level,5on4,82,0.89,0.89,0.86,22820.0,345.12,45.63,30.93,72.55,11.99,216.53,114.37,43.36,45.63,43.36,360.0,132.0,174.0,666.0,56.0,31.0,9.0,65.0,20.0,170.0,150.0,304.0,436.0,7.0,14.0,244.0,18.0,20.0,47.0,340.0,102.0,50.0,9.03,11.66,24.94,15.0,12.0,29.0,666.0,492.0,492.0,5.0,8.01,9.41,9.41,44.23,44.23,42.63,58.05,5.82,2.95,7.84,1.75,18.99,40.66,5.77,5.82,5.77,70.0,8.0,7.0,85.0,6.0,1.0,0.0,7.0,1.0,15.0,48.0,64.0,72.0,5.0,10.0,175.0,63.0,42.0,22.0,54.0,14.0,10.0,1.48,1.7,2.63,1.0,2.0,3.0,85.0,78.0,78.0,18.0,0.67,0.16,0.16,6.33,6.33,6.31
STL,2021,STL,STL,Team Level,other,82,0.52,0.47,0.48,11735.0,127.27,32.32,8.67,21.05,3.96,68.22,43.78,31.53,32.32,31.53,137.0,41.0,55.0,233.0,39.0,9.0,1.0,22.0,3.0,58.0,47.0,98.0,139.0,12.0,24.0,134.0,28.0,26.0,17.0,97.0,41.0,40.0,4.48,5.03,22.81,12.0,4.0,23.0,233.0,178.0,178.0,9.0,2.48,2.91,2.91,31.89,31.89,31.36,138.06,30.28,9.77,24.7,4.52,75.97,45.75,29.27,30.28,29.27,133.0,58.0,76.0,267.0,31.0,6.0,3.0,25.0,7.0,62.0,60.0,102.0,160.0,5.0,10.0,125.0,29.0,29.0,23.0,108.0,51.0,32.0,4.17,6.54,19.57,7.0,7.0,17.0,267.0,191.0,191.0,10.0,2.77,2.32,2.32,30.72,30.72,29.77
STL,2021,STL,STL,Team Level,all,82,0.5,0.48,0.48,297850.0,2393.5,254.52,171.05,516.84,76.99,1335.88,963.98,246.95,257.39,249.72,2492.0,831.0,955.0,4278.0,309.0,179.0,40.0,456.0,68.0,1030.0,1281.0,2183.0,3014.0,259.0,557.0,2269.0,1656.0,617.0,667.0,2328.0,775.0,220.0,77.17,93.41,83.94,104.0,114.0,91.0,4353.14,3323.0,3368.8,381.0,37.65,40.68,41.03,250.95,253.42,249.05,2594.34,251.08,181.35,589.07,86.19,1453.23,1060.08,242.04,250.84,241.8,2591.0,1030.0,1004.0,4625.0,239.0,206.0,37.0,564.0,66.0,1153.0,1393.0,2352.0,3382.0,279.0,595.0,2247.0,1547.0,787.0,638.0,2662.0,739.0,220.0,83.97,89.21,77.9,91.0,78.0,70.0,4586.6,3621.0,3597.63,370.0,39.66,46.36,46.77,243.97,243.54,238.82
STL,2021,STL,STL,Team Level,5on5,82,0.47,0.47,0.47,243021.0,1853.26,165.78,128.73,418.63,59.87,1037.6,764.65,161.5,168.65,164.27,1909.0,670.0,764.0,3343.0,200.0,137.0,31.0,354.0,51.0,792.0,1045.0,1709.0,2379.0,226.0,493.0,1708.0,1563.0,534.0,559.0,1890.0,571.0,118.0,63.88,69.72,32.19,82.0,85.0,33.0,3418.14,2579.0,2624.8,330.0,26.61,27.29,27.64,164.55,167.01,164.94,2121.36,183.27,143.71,499.65,70.38,1189.26,878.73,176.75,183.02,176.52,2113.0,852.0,794.0,3759.0,171.0,168.0,30.0,473.0,50.0,957.0,1146.0,1942.0,2794.0,246.0,531.0,1763.0,1442.0,668.0,520.0,2221.0,594.0,150.0,71.02,70.74,41.51,79.0,57.0,35.0,3720.6,2965.0,2941.63,315.0,29.74,36.74,37.15,175.86,175.43,172.38
STL,2021,STL,STL,Team Level,4on5,82,0.19,0.17,0.2,20718.0,68.77,7.25,3.44,9.26,2.07,21.13,47.84,7.16,7.25,7.16,81.0,10.0,10.0,101.0,7.0,3.0,0.0,6.0,3.0,13.0,59.0,74.0,84.0,7.0,12.0,189.0,50.0,42.0,41.0,61.0,20.0,10.0,1.67,2.61,2.98,1.0,4.0,2.0,101.0,91.0,91.0,37.0,0.8,0.7,0.7,7.35,7.35,7.32,267.55,31.13,24.28,55.6,9.33,166.51,87.14,29.68,31.13,29.68,268.0,106.0,124.0,498.0,32.0,30.0,4.0,63.0,8.0,118.0,123.0,236.0,342.0,19.0,36.0,184.0,20.0,18.0,53.0,270.0,71.0,33.0,6.5,9.02,15.61,4.0,10.0,18.0,498.0,374.0,374.0,10.0,6.34,6.94,6.94,30.54,30.54,29.87
STL,2021,STL,STL,Team Level,5on4,82,0.88,0.86,0.84,22376.0,344.19,49.17,30.2,67.9,11.09,208.93,107.72,46.76,49.17,46.76,365.0,110.0,126.0,601.0,63.0,30.0,8.0,74.0,11.0,167.0,130.0,302.0,412.0,14.0,28.0,238.0,15.0,15.0,50.0,280.0,143.0,52.0,7.15,16.05,25.97,9.0,21.0,33.0,601.0,475.0,475.0,5.0,7.78,9.79,9.79,47.16,47.16,45.43,67.38,6.4,3.58,9.11,1.96,21.49,48.45,6.34,6.4,6.34,77.0,14.0,10.0,101.0,5.0,2.0,0.0,3.0,1.0,16.0,64.0,72.0,86.0,9.0,18.0,175.0,56.0,72.0,42.0,63.0,23.0,5.0,2.28,2.91,1.21,1.0,4.0,0.0,101.0,91.0,91.0,35.0,0.81,0.36,0.36,6.85,6.85,6.8
PHI,2021,PHI,PHI,Team Level,other,82,0.43,0.53,0.52,11280.0,163.25,30.99,12.71,30.26,5.6,89.14,53.3,27.29,30.99,27.29,161.0,61.0,81.0,303.0,20.0,16.0,4.0,29.0,8.0,74.0,75.0,141.0,202.0,7.0,14.0,142.0,29.0,11.0,23.0,117.0,57.0,48.0,4.31,7.42,19.26,4.0,3.0,13.0,303.0,222.0,222.0,8.0,3.74,3.39,4.01,30.73,30.73,27.46,148.39,41.52,10.16,24.4,4.77,71.42,48.71,39.42,41.52,39.42,156.0,45.0,65.0,266.0,46.0,10.0,0.0,26.0,5.0,60.0,54.0,110.0,155.0,11.0,22.0,117.0,28.0,28.0,37.0,97.0,50.0,54.0,3.86,6.05,31.61,5.0,8.0,33.0,266.0,201.0,201.0,24.0,2.89,2.24,2.24,42.17,42.17,40.12
PHI,2021,PHI,PHI,Team Level,all,82,0.46,0.47,0.47,298125.0,2486.4,236.92,174.93,568.87,82.01,1349.89,990.38,226.2,235.26,224.64,2540.0,863.0,1096.0,4499.0,210.0,224.0,39.0,565.0,86.0,979.0,1339.0,2330.0,3193.0,287.0,645.0,2448.0,1839.0,470.0,667.0,2461.0,688.0,254.0,69.05,85.77,82.1,66.0,73.0,71.0,4449.79,3403.0,3375.85,440.0,38.92,43.44,44.58,231.26,229.95,223.31,2745.13,279.56,191.92,614.74,87.82,1498.86,1102.11,269.72,282.69,272.75,2786.0,989.0,1234.0,5009.0,294.0,213.0,36.0,674.0,105.0,1131.0,1359.0,2492.0,3481.0,293.0,656.0,2247.0,1758.0,547.0,748.0,2656.0,836.0,283.0,79.3,100.21,100.06,88.0,104.0,102.0,5085.81,3775.0,3819.13,448.0,42.14,43.76,44.11,277.6,280.3,273.67
PHI,2021,PHI,PHI,Team Level,5on5,82,0.46,0.47,0.47,241712.0,1928.99,165.61,127.29,457.79,63.08,1034.95,786.28,160.26,163.94,158.7,1976.0,659.0,867.0,3502.0,159.0,168.0,31.0,451.0,71.0,730.0,1056.0,1817.0,2476.0,263.0,597.0,1874.0,1740.0,397.0,554.0,1944.0,531.0,160.0,55.64,66.04,43.94,61.0,57.0,41.0,3452.79,2635.0,2607.85,382.0,26.35,33.44,33.95,158.0,156.7,154.7,2178.9,190.9,145.85,509.07,69.43,1196.45,893.32,184.96,194.01,187.98,2189.0,816.0,1003.0,4008.0,189.0,165.0,29.0,565.0,82.0,891.0,1114.0,2000.0,2816.0,262.0,596.0,1732.0,1645.0,449.0,605.0,2166.0,669.0,170.0,64.74,80.34,45.81,69.0,80.0,40.0,4084.81,3005.0,3049.13,382.0,30.17,33.82,34.17,186.88,189.59,186.34
